name,model,price,annonce_date,OS,num_of_user_ratings,users_rating
سامسونگ,Galaxy A55,"21,400,000",2024,Android,---,---
شیائومی,Poco M4 5G,"5,430,000",2022,Android,---,---
موتورولا,Moto G24,"6,099,000",2024,Android,---,---
تی سی ال,403,"2,727,000",2023,Android,---,---
شیائومی,Xiaomi Redmi Note 12 Turbo,"18,799,000",2023,Android,---,---
اپل,iPhone 13 Pro CH,"144,400,000",2021,iOS,---,---
تی سی ال,40 SE,"4,878,000",2023,Android,---,---
تی سی ال,10L,"4,919,000",2020,Android,---,---
اوپو,A58 4G,"6,999,000",2023,Android,---,---
شیائومی,Poco M5,"5,150,000",2022,Android,---,---
شیائومی,(جهانی) Redmi 9A M2006C3LG - Global,"3,770,000",2020,Android,5815,4.2
سامسونگ,Galaxy A14,"5,905,000",2023,Android,4397,4.4
شیائومی,Poco C40,"4,775,000",2022,Android,3636,4.4
اپل,iPhone 13 CH,"41,899,000",2021,iOS,3554,4.5
شیائومی,Redmi Note 12S,"8,530,000",2023,Android,3503,4.5
سامسونگ,Galaxy A54 5G,"18,480,000",2023,Android,3374,4.5
سامسونگ,Galaxy S21 FE 5G,"21,889,000",2022,Android,3230,4.2
سامسونگ,Galaxy A34 5G,"13,399,000",2023,Android,2394,4.5
نوکیا,TA 12353 DS (Global) بین المللی,"2,489,000",2020,بدون سیستم عامل,1973,4.1
نوکیا,---,"2,289,000",2020,بدون سیستم عامل,1916,4.1
شیائومی,Poco X4 Pro 5G 2201116PG,"10,890,000",2022,Android,1901,4.4
سامسونگ,Galaxy A14,"5,940,000",2023,Android,1828,4.2
نوکیا,---,"2,989,000",2020,بدون سیستم عامل,1632,4.1
سامسونگ,Galaxy A54 5G,"16,990,000",2023,Android,1610,4.4
سامسونگ,Galaxy S23 FE,"26,500,000",2023,Android,1527,4.5
سامسونگ,Galaxy A14,"6,899,000",2023,Android,1430,4.4
شیائومی,Redmi Note 13 4G,"9,390,000",2024,Android,1359,4.5
شیائومی,Redmi 9A M2006C3LC,"4,129,000",2020,Android,1325,4.2
شیائومی,Redmi 12,"7,599,000",2023,Android,1297,4.4
شیائومی,Redmi Note 12 Pro 4G,"11,655,000",2023,Android,1220,4.4
سامسونگ,Galaxy S23 Ultra,"57,500,000",2023,Android,1067,4.6
شیائومی,Redmi A2 Plus,"4,305,000",2023,Android,1002,4.4
نوکیا,105 2023,"1,187,000",2023,---,982,4.3
شیائومی,Redmi 13C,"6,825,000",2023,Android,940,4.4
سامسونگ,Galaxy A04e,"4,300,000",2022,Android,926,4.4
نوکیا,105 2022,"1,285,000",2022,---,916,4.1
نوکیا,G21 TA-1418,"5,259,000",2022,Android,901,4.3
سامسونگ,Galaxy A24 4G,"8,929,000",2023,Android,786,4.4
سامسونگ,Galaxy A24 4G,"8,799,000",2023,Android,754,4.5
اپل,iPhone 13 CH,"52,999,000",2021,iOS,750,4.4
سامسونگ,Galaxy A15,"6,219,000",2023,Android,727,4.5
سامسونگ,Galaxy A04,"4,680,000",2022,Android,588,4.3
شیائومی,Redmi Note 12 Pro 5G,"13,960,000",2022,Android,586,4.5
شیائومی,Poco X6 Pro,"17,590,000",2024,Android,580,4.5
وان پلاس,---,"4,199,000",2020,Android,574,4.4
سامسونگ,Galaxy M13,"5,699,000",2022,Android,572,4.3
شیائومی,Poco F5,"17,999,000",2023,Android,554,4.5
شیائومی,Poco C65,"6,770,000",2023,Android,521,4.4
نوکیا,C30 TA-1359 DS,"3,899,000",2021,Android,520,4.2
سامسونگ,Galaxy A05s,"4,998,000",2023,Android,473,4.4
